Date,Country/Region,Province/State,Confirmed,Deaths,Recovered,Suspected
2020-01-22,China,Anhui,0,0,0,3
2020-01-22,China,Beijing,10,0,0,0
2020-01-22,China,Chongqing,5,0,0,0
2020-01-22,China,Guangdong,17,0,0,4
2020-01-22,China,Guangxi,0,0,0,1
2020-01-22,China,Guizhou,0,0,0,1
2020-01-22,China,Hainan,0,0,0,1
2020-01-22,China,Heilongjiang,0,0,0,1
2020-01-22,China,Henan,1,0,0,0
2020-01-22,China,Hong Kong,0,0,0,117
2020-01-22,China,Hubei,270,0,0,11
2020-01-22,China,Hunan,1,0,0,0
2020-01-22,China,Jiangxi,2,0,0,0
2020-01-22,China,Jilin,0,0,0,1
2020-01-22,China,Liaoning,0,0,0,1
2020-01-22,China,Ningxia,0,0,0,1
2020-01-22,China,Shandong,1,0,0,0
2020-01-22,China,Shanghai,9,0,0,10
2020-01-22,China,Sichuan,2,0,0,1
2020-01-22,China,Taiwan,1,0,0,0
2020-01-22,China,Tianjin,2,0,0,0
2020-01-22,China,Yunnan,1,0,0,0
2020-01-22,China,Zhejiang,5,0,0,16
2020-01-22,Japan,,1,0,0,0
2020-01-22,South Korea,,1,0,0,0
2020-01-22,Thailand,,2,0,0,0
2020-01-22,United States,Washington,1,0,0,0
2020-01-23,China,Anhui,1,0,0,4
2020-01-23,China,Beijing,14,0,0,0
2020-01-23,China,Chongqing,6,0,0,0
2020-01-23,China,Fujian,1,0,0,0
2020-01-23,China,Gansu,0,0,0,0
2020-01-23,China,Guangdong,26,0,0,1
2020-01-23,China,Guangxi,2,0,0,1
2020-01-23,China,Guizhou,1,0,0,0
2020-01-23,China,Hainan,4,0,0,0
2020-01-23,China,Hebei,1,0,0,0
2020-01-23,China,Heilongjiang,0,0,0,1
2020-01-23,China,Henan,5,0,0,0
2020-01-23,China,Hong Kong,0,0,0,117
2020-01-23,China,Hubei,444,0,0,0
2020-01-23,China,Hunan,4,0,0,0
2020-01-23,China,Inner Mongolia,0,0,0,0
2020-01-23,China,Jiangsu,1,0,0,0
2020-01-23,China,Jiangxi,2,0,0,0
2020-01-23,China,Jilin,0,0,0,1
2020-01-23,China,Liaoning,2,0,0,0
2020-01-23,China,Macau,1,0,0,0
2020-01-23,China,Ningxia,1,0,0,0
2020-01-23,China,Qinghai,0,0,0,0
2020-01-23,China,Shaanxi,0,0,0,0
2020-01-23,China,Shandong,2,0,0,0
2020-01-23,China,Shanghai,9,0,0,10
2020-01-23,China,Shanxi,1,0,0,0
2020-01-23,China,Sichuan,5,0,0,2
2020-01-23,China,Taiwan,1,0,0,0
2020-01-23,China,Tianjin,4,0,0,0
2020-01-23,China,Tibet,0,0,0,0
2020-01-23,China,Xinjiang,0,0,0,0
2020-01-23,China,Yunnan,1,0,0,0
2020-01-23,China,Zhejiang,10,0,0,0
2020-01-23,Japan,,2,0,0,0
2020-01-23,South Korea,,1,0,0,0
2020-01-23,Thailand,,2,0,0,0
2020-01-23,United States,Washington,1,0,0,0
2020-01-24,Australia,,0,0,0,1
2020-01-24,Brazil,,0,0,0,1
2020-01-24,China,Anhui,15,0,0,4
2020-01-24,China,Beijing,26,0,0,22
2020-01-24,China,Chongqing,27,0,0,13
2020-01-24,China,Fujian,5,0,0,2
2020-01-24,China,Gansu,2,0,0,0
2020-01-24,China,Guangdong,53,0,2,1
2020-01-24,China,Guangxi,13,0,0,0
2020-01-24,China,Guizhou,3,0,0,0
2020-01-24,China,Hainan,8,0,0,32
2020-01-24,China,Hebei,2,1,0,0
2020-01-24,China,Heilongjiang,4,1,0,0
2020-01-24,China,Henan,9,0,0,0
2020-01-24,China,Hong Kong,2,0,0,65
2020-01-24,China,Hubei,549,24,31,0
2020-01-24,China,Hunan,24,0,0,0
2020-01-24,China,Inner Mongolia,1,0,0,2
2020-01-24,China,Jiangsu,9,0,0,0
2020-01-24,China,Jiangxi,7,0,0,0
2020-01-24,China,Jilin,3,0,0,0
2020-01-24,China,Liaoning,4,0,0,0
2020-01-24,China,Macau,2,0,0,0
2020-01-24,China,Ningxia,1,0,0,0
2020-01-24,China,Qinghai,0,0,0,0
2020-01-24,China,Shaanxi,3,0,0,1
2020-01-24,China,Shandong,9,0,0,2
2020-01-24,China,Shanghai,20,0,0,22
2020-01-24,China,Shanxi,1,0,0,0
2020-01-24,China,Sichuan,15,0,0,4
2020-01-24,China,Taiwan,1,0,0,0
2020-01-24,China,Tianjin,5,0,0,0
2020-01-24,China,Tibet,0,0,0,0
2020-01-24,China,Xinjiang,2,0,0,0
2020-01-24,China,Yunnan,2,0,0,0
2020-01-24,China,Zhejiang,43,0,1,0
2020-01-24,Colombia,,0,0,0,1
2020-01-24,Japan,,2,0,0,0
2020-01-24,Malaysia,,0,0,0,4
2020-01-24,Mexico,,0,0,0,1
2020-01-24,Philippines,,0,0,0,4
2020-01-24,Singapore,,1,0,0,0
2020-01-24,South Korea,,1,0,0,0
2020-01-24,Thailand,,4,0,0,0
2020-01-24,United States,Washington,1,0,0,0
2020-01-24,Vietnam,,2,0,0,0
2020-01-25,Australia,,4,0,0,0
2020-01-25,China,Anhui,39,0,0,4
2020-01-25,China,Beijing,41,0,2,0
2020-01-25,China,Chongqing,57,0,0,13
2020-01-25,China,Fujian,18,0,0,20
2020-01-25,China,Gansu,4,0,0,0
2020-01-25,China,Guangdong,78,0,2,0
2020-01-25,China,Guangxi,23,0,0,0
2020-01-25,China,Guizhou,4,0,0,0
2020-01-25,China,Hainan,19,0,0,32
2020-01-25,China,Hebei,8,1,0,0
2020-01-25,China,Heilongjiang,9,1,0,0
2020-01-25,China,Henan,32,0,0,42
2020-01-25,China,Hong Kong,5,0,0,244
2020-01-25,China,Hubei,761,40,32,0
2020-01-25,China,Hunan,43,0,0,0
2020-01-25,China,Inner Mongolia,7,0,0,2
2020-01-25,China,Jiangsu,18,0,1,0
